evidence_id,finding_id,severity,anomaly_type,source_record_id,supplier_id,supplier_name,item_id,item_name,observed_value,expected_value,ratio,explanation,human_review_required,recommended_human_action
EV-001,H-001,CRITICAL_REVIEW_REQUIRED,PRICE_ANOMALY,REC-004,SUP-001,North Bridge Office Supplies Sp. z o.o.,ITEM-001,A4 printer paper box,230.0,100.0,2.3,Observed unit price (230.00 PLN) is 2.30x benchmark median (100.00 PLN).,True,"Review benchmark source, procurement justification, and alternative market offers before any institutional conclusion."
EV-002,H-002,HIGH,PRICE_ANOMALY,REC-018,SUP-003,QuickBuild Technical Services Sp. z o.o.,ITEM-007,Minor renovation service,15000.0,8000.0,1.88,Observed unit price (15000.00 PLN) is 1.88x benchmark median (8000.00 PLN).,True,"Review benchmark source, procurement justification, and alternative market offers before any institutional conclusion."
EV-003,H-003,HIGH,ENTITY_CAPABILITY_ANOMALY,REC-005,SUP-004,FreshStart Consulting Sp. z o.o.,ITEM-002,Laptop computer,97500.0,50000.0,,Low-capacity supplier (0.25) received high-value procurement (97500.00 PLN).,True,"Verify supplier capacity, registration history, staffing or delivery capability, and supporting documentation."
EV-004,M-001,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-005,SUP-004,FreshStart Consulting Sp. z o.o.,ITEM-002,Laptop computer,,,,"Supplier declared activity ('consulting') does not clearly align with item category ('IT_equipment'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-005,M-002,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-006,SUP-005,GreenLeaf Catering Sp. z o.o.,ITEM-003,Medical protective gloves pack,,,,"Supplier declared activity ('catering') does not clearly align with item category ('medical_equipment'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-006,M-003,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-007,SUP-007,MedPaper Logistics Sp. z o.o.,ITEM-003,Medical protective gloves pack,,,,"Supplier declared activity ('logistics') does not clearly align with item category ('medical_equipment'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-007,M-004,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-009,SUP-003,QuickBuild Technical Services Sp. z o.o.,ITEM-005,Website maintenance service,,,,"Supplier declared activity ('construction_services') does not clearly align with item category ('IT_services'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-008,M-005,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-010,SUP-004,FreshStart Consulting Sp. z o.o.,ITEM-007,Minor renovation service,,,,"Supplier declared activity ('consulting') does not clearly align with item category ('construction_services'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-009,M-006,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-013,SUP-006,MicroNova Trade Sp. z o.o.,ITEM-007,Minor renovation service,,,,"Supplier declared activity ('general_trade') does not clearly align with item category ('construction_services'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-010,M-007,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-014,SUP-006,MicroNova Trade Sp. z o.o.,ITEM-007,Minor renovation service,,,,"Supplier declared activity ('general_trade') does not clearly align with item category ('construction_services'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-011,M-008,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-015,SUP-006,MicroNova Trade Sp. z o.o.,ITEM-007,Minor renovation service,,,,"Supplier declared activity ('general_trade') does not clearly align with item category ('construction_services'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-012,M-009,MEDIUM,ENTITY_CATEGORY_MISMATCH,REC-016,SUP-002,ClearMed Equipment Group Sp. z o.o.,ITEM-002,Laptop computer,,,,"Supplier declared activity ('medical_equipment') does not clearly align with item category ('IT_equipment'). This may be explainable, but it requires human review.",True,"Verify supplier declared activity, procurement justification, and whether the supplier can legitimately provide the requested item or service."
EV-013,M-010,MEDIUM,QUANTITY_ANOMALY,REC-008,SUP-001,North Bridge Office Supplies Sp. z o.o.,ITEM-004,Office chair,500.0,100.0,,Large procurement quantity detected (500 units). The operational need and delivery context should be reviewed.,True,"Confirm operational need, delivery evidence, storage capacity, and approval rationale for the unusual quantity."
EV-014,H-004,HIGH,FRAGMENTATION_ANOMALY,FRAG-001,SUP-006,MicroNova Trade Sp. z o.o.,FRAGMENTATION,construction_services,9600.0,10000.0,,"Multiple threshold-near fragments detected for the same supplier, department, and category. Cumulative value: 38500.00 PLN.",True,Review related contract fragments together and verify whether the split structure has a legitimate operational explanation.
EV-015,H-005,HIGH,FRAGMENTATION_ANOMALY,FRAG-002,SUP-006,MicroNova Trade Sp. z o.o.,FRAGMENTATION,construction_services,9700.0,10000.0,,"Multiple threshold-near fragments detected for the same supplier, department, and category. Cumulative value: 38500.00 PLN.",True,Review related contract fragments together and verify whether the split structure has a legitimate operational explanation.
EV-016,H-006,HIGH,FRAGMENTATION_ANOMALY,FRAG-003,SUP-006,MicroNova Trade Sp. z o.o.,FRAGMENTATION,construction_services,9800.0,10000.0,,"Multiple threshold-near fragments detected for the same supplier, department, and category. Cumulative value: 38500.00 PLN.",True,Review related contract fragments together and verify whether the split structure has a legitimate operational explanation.
EV-017,H-007,HIGH,FRAGMENTATION_ANOMALY,FRAG-004,SUP-006,MicroNova Trade Sp. z o.o.,FRAGMENTATION,construction_services,9400.0,10000.0,,"Multiple threshold-near fragments detected for the same supplier, department, and category. Cumulative value: 38500.00 PLN.",True,Review related contract fragments together and verify whether the split structure has a legitimate operational explanation.
